Metric,Mean,Std,Format
MAE,0.40712815523147583,0.10045954585075378,0.407128 ± 0.100460
MSE,0.24277552962303162,0.1080530434846878,0.242776 ± 0.108053
RMSE,0.48125314712524414,0.10158634930849075,0.481253 ± 0.101586
Gradient_MAE,0.034293513745069504,0.007119794376194477,0.034294 ± 0.007120
Pearson_Correlation,0.28660160981339755,0.3779527879092346,0.286602 ± 0.377953
DTW,287.15389068247623,66.88410899387797,287.153891 ± 66.884109
Cross_Correlation_Zero,0.2866081597351392,0.37795097267083705,0.286608 ± 0.377951
KLD,10.639559718686284,2.3830478459317583,10.639560 ± 2.383048
PSD_MSE,84.0599365234375,17.098186492919922,84.059937 ± 17.098186
PSD_Correlation,0.9570469956314206,0.01158423887862565,0.957047 ± 0.011584
