Metric,Mean,Std,Format
MAE,0.40676093101501465,0.06444161385297775,0.406761 ± 0.064442
MSE,0.2474256455898285,0.06310170888900757,0.247426 ± 0.063102
RMSE,0.49301615357398987,0.06292004138231277,0.493016 ± 0.062920
Gradient_MAE,0.03476278856396675,0.0060984669253230095,0.034763 ± 0.006098
Pearson_Correlation,0.08813841005530995,0.24533202602955514,0.088138 ± 0.245332
DTW,416.19175251700045,70.62737172516057,416.191753 ± 70.627372
Cross_Correlation_Zero,0.0881375673146701,0.2453259630335747,0.088138 ± 0.245326
KLD,17.64049476535278,1.6039933501845756,17.640495 ± 1.603993
PSD_MSE,453.813232421875,36.34149169921875,453.813232 ± 36.341492
PSD_Correlation,0.8492899918124394,0.029394700361283357,0.849290 ± 0.029395
